customer_id,date,amount,amount2
1,2023-06-01,515,736
1,2023-06-02,566,575
1,2023-06-03,558,971
1,2023-06-04,529,626
1,2023-06-05,549,769
1,2023-06-06,547,666
1,2023-06-07,563,914
1,2023-06-08,532,537
1,2023-06-09,568,627
1,2023-06-10,528,714
1,2023-06-11,539,1038
1,2023-06-12,536,913
1,2023-06-13,545,578
1,2023-06-14,563,775
1,2023-06-15,544,916
1,2023-06-16,547,911
1,2023-06-17,558,923
1,2023-06-18,553,842
1,2023-06-19,562,913
1,2023-06-20,553,579
1,2023-06-21,541,743
1,2023-06-22,542,554
1,2023-06-23,568,645
1,2023-06-24,529,583
1,2023-06-25,573,803
1,2023-06-26,542,939
1,2023-06-27,537,1047
1,2023-06-28,551,940
1,2023-06-29,566,635
1,2023-06-30,570,1125
1,2023-07-01,574,1047
1,2023-07-02,531,923
1,2023-07-03,547,751
1,2023-07-04,538,865
1,2023-07-05,530,663
1,2023-07-06,564,904
1,2023-07-07,554,1069
1,2023-07-08,574,736
1,2023-07-09,532,988
1,2023-07-10,550,648
1,2023-07-11,532,739
1,2023-07-12,564,808
1,2023-07-13,564,1039
1,2023-07-14,556,917
1,2023-07-15,559,779
1,2023-07-16,562,666
1,2023-07-17,559,661
1,2023-07-18,569,875
1,2023-07-19,564,977
1,2023-07-20,566,929
1,2023-07-21,554,566
1,2023-07-22,569,990
1,2023-07-23,574,1052
1,2023-07-24,532,910
1,2023-07-25,556,898
1,2023-07-26,530,556
1,2023-07-27,567,866
1,2023-07-28,537,778
1,2023-07-29,576,828
1,2023-07-30,565,569
1,2023-07-31,560,644
2,2023-06-01,1057,1378
2,2023-06-02,1109,1895
2,2023-06-03,1152,2194
2,2023-06-04,1151,1767
2,2023-06-05,1119,1345
2,2023-06-06,1078,1533
2,2023-06-07,1125,2074
2,2023-06-08,1152,2062
2,2023-06-09,1077,1804
2,2023-06-10,1063,1204
2,2023-06-11,1121,2120
2,2023-06-12,1141,2013
2,2023-06-13,1092,1896
2,2023-06-14,1102,2194
2,2023-06-15,1116,1867
2,2023-06-16,1108,1743
2,2023-06-17,1124,1611
2,2023-06-18,1057,1790
2,2023-06-19,1128,2072
2,2023-06-20,1076,1354
2,2023-06-21,1111,2172
2,2023-06-22,1062,1445
2,2023-06-23,1144,1935
2,2023-06-24,1057,1297
2,2023-06-25,1108,1554
2,2023-06-26,1070,1117
2,2023-06-27,1077,1199
2,2023-06-28,1091,2153
2,2023-06-29,1067,1106
2,2023-06-30,1151,1734
2,2023-07-01,1061,1297
2,2023-07-02,1144,2157
2,2023-07-03,1150,1690
2,2023-07-04,1106,2134
2,2023-07-05,1150,1234
2,2023-07-06,1064,2091
2,2023-07-07,1087,1924
2,2023-07-08,1134,1544
2,2023-07-09,1100,1893
2,2023-07-10,1115,2049
2,2023-07-11,1059,2008
2,2023-07-12,1092,1952
2,2023-07-13,1097,1433
2,2023-07-14,1145,1900
2,2023-07-15,1087,1814
2,2023-07-16,1068,2118
2,2023-07-17,1054,1370
2,2023-07-18,1121,1969
2,2023-07-19,1115,1766
2,2023-07-20,1061,1147
2,2023-07-21,1066,1222
2,2023-07-22,1090,1920
2,2023-07-23,1086,1517
2,2023-07-24,1060,1475
2,2023-07-25,1122,1553
2,2023-07-26,1132,1987
2,2023-07-27,1156,1781
2,2023-07-28,1072,1451
2,2023-07-29,1065,1895
2,2023-07-30,1079,1642
2,2023-07-31,1061,1069
3,2023-06-01,1558,1873
3,2023-06-02,1693,2098
3,2023-06-03,1678,2628
3,2023-06-04,1672,1736
3,2023-06-05,1643,2891
3,2023-06-06,1603,2605
3,2023-06-07,1722,1763
3,2023-06-08,1712,3365
3,2023-06-09,1726,2639
3,2023-06-10,1609,3106
3,2023-06-11,1726,3293
3,2023-06-12,1611,2739
3,2023-06-13,1646,2820
3,2023-06-14,1617,2899
3,2023-06-15,1614,2029
3,2023-06-16,1591,3125
3,2023-06-17,1629,3165
3,2023-06-18,1665,1670
3,2023-06-19,1643,1797
3,2023-06-20,1640,2772
3,2023-06-21,1595,2051
3,2023-06-22,1708,2850
3,2023-06-23,1717,2255
3,2023-06-24,1652,1825
3,2023-06-25,1643,1708
3,2023-06-26,1592,2358
3,2023-06-27,1728,2704
3,2023-06-28,1732,1899
3,2023-06-29,1664,2337
3,2023-06-30,1705,1705
3,2023-07-01,1645,2649
3,2023-07-02,1616,3192
3,2023-07-03,1585,2892
3,2023-07-04,1605,2648
3,2023-07-05,1636,1741
3,2023-07-06,1654,3148
3,2023-07-07,1634,2470
3,2023-07-08,1685,2804
3,2023-07-09,1586,1635
3,2023-07-10,1644,2561
3,2023-07-11,1702,2752
3,2023-07-12,1648,2487
3,2023-07-13,1596,1713
3,2023-07-14,1667,2272
3,2023-07-15,1725,2820
3,2023-07-16,1632,2761
3,2023-07-17,1595,3004
3,2023-07-18,1653,1993
3,2023-07-19,1658,2595
3,2023-07-20,1706,3294
3,2023-07-21,1729,3014
3,2023-07-22,1603,2403
3,2023-07-23,1604,2253
3,2023-07-24,1665,1873
3,2023-07-25,1644,2366
3,2023-07-26,1727,1847
3,2023-07-27,1651,2080
3,2023-07-28,1614,1652
3,2023-07-29,1581,1957
3,2023-07-30,1647,2886
3,2023-07-31,1645,2680
4,2023-06-01,2176,4279
4,2023-06-02,2241,2493
4,2023-06-03,2154,2431
4,2023-06-04,2227,4366
4,2023-06-05,2192,3035
4,2023-06-06,2234,3548
4,2023-06-07,2128,2571
4,2023-06-08,2262,3932
4,2023-06-09,2204,3198
4,2023-06-10,2141,4084
4,2023-06-11,2245,4315
4,2023-06-12,2175,3211
4,2023-06-13,2213,2828
4,2023-06-14,2206,3935
4,2023-06-15,2114,3403
4,2023-06-16,2271,3160
4,2023-06-17,2300,3737
4,2023-06-18,2149,4260
4,2023-06-19,2301,3602
4,2023-06-20,2303,4140
4,2023-06-21,2186,3376
4,2023-06-22,2305,2349
4,2023-06-23,2121,2758
4,2023-06-24,2120,3951
4,2023-06-25,2230,4319
4,2023-06-26,2149,2808
4,2023-06-27,2130,3776
4,2023-06-28,2137,3555
4,2023-06-29,2225,2456
4,2023-06-30,2178,2252
4,2023-07-01,2167,4320
4,2023-07-02,2208,2977
4,2023-07-03,2230,3590
4,2023-07-04,2167,3300
4,2023-07-05,2307,3960
4,2023-07-06,2298,3977
4,2023-07-07,2145,2193
4,2023-07-08,2130,3288
4,2023-07-09,2268,4084
4,2023-07-10,2292,4282
4,2023-07-11,2311,3852
4,2023-07-12,2255,2604
4,2023-07-13,2226,4429
4,2023-07-14,2166,4215
4,2023-07-15,2259,4127
4,2023-07-16,2114,2534
4,2023-07-17,2261,4181
4,2023-07-18,2187,3416
4,2023-07-19,2248,4461
4,2023-07-20,2233,3264
4,2023-07-21,2123,2463
4,2023-07-22,2159,2406
4,2023-07-23,2252,3730
4,2023-07-24,2281,4307
