,video_title
0,NewJeans (뉴진스) 'Bubble Gum' Official MV
1,"""전쟁이구나""…'아일릿' 공식 SNS, '뉴진스' 악플러 팔로우 논란 / SBS / 스브스픽"
2,뉴진스 까계정 팔로우한 아일릿멤버?
3,뒤늦게 터진 뉴진스 표절 의혹.. ㄷㄷ (feat.아일릿)
4,'마름모 하트'까지 뺏겨버린 뉴진스
5,뉴진스가 베꼈다는 멕시코 걸그룹 '진스'
6,
7,
8,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
9,뉴진스 민지 다니엘 입열다 #뉴진스 #민지 #다니엘
10,[Full Album] NewJeans (뉴진스) - Get Up
11,"2023년은 토끼해라던데!?🐰 Attention부터 Hype boy, Hurt까지 뉴진스 모든 무대 몰아보기 | NewJeans Stage Compilation"
12,[단독샷캠4K] 뉴진스 'OMG' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230115
13,NewJeans(뉴진스) - Hype Boy @인기가요 inkigayo 20220821
14,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2)
15,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 트렌드의 아이콘 뉴진스, 잔잔하며 풋풋한 뉴진스의 히트곡 모음 𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕"
16,"뉴진스의 심경 토로 ""결국 지나갈 것""...오늘 밤 경복궁 특설무대 올라｜지금 이 장면"
17,뉴진스 vs 아일릿 안무가 얼마나 똑같길래?? #shorts
18,뉴진스 새로운 멤버 발표😳!!!포닝
19,160억 뉴진스 VS 1500억 아일릿
20,'뉴진스'와 멕시코 걸그룹 '진스'
21,
22,
23,"민희진 뉴진스 멤버 비하, 뒷담 욕 결국 인정한 근황, 살 못빼는 개초딩들,하니 개뚱뚱 찌발(실제카톡)"
24,NewJeans 'Ditto' Lyrics (뉴진스 Ditto 가사) (Color Coded Lyrics)
25,NewJeans (뉴진스) 'Ditto' Performance Video
26,[Light Jeans] NIKE Air Max Campaign Shoot Behind 👟 | NewJeans
27,[Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 | NewJeans
28,⏰Sleeping beauty…🥀 #NewJeans #뉴진스 #NewJeans_is_Everywhere
29,I'm kickin' back and I'm #NewJeans #뉴진스 #NewJeans_is_Everywhere
30,productive baby 👼 #NewJeans #뉴진스#NewJeans_is_Everywhere
31,Finding Bunnies #NewJeans #뉴진스 #Bunnies_Membership #Bunnies_Club
32,
33,
34,NewJeans (뉴진스) 'ETA' Official MV (Performance ver.)
35,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1)
36,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1)
37,NewJeans (뉴진스) 'ETA' Official MV
38,ILLIT (아일릿) ‘Magnetic’ Official MV
39,BABYMONSTER - ‘SHEESH’ M/V
40,BTS (방탄소년단) 'Dynamite' Official MV
41,뉴진스(NewJeans) 한복 디자이너가 남긴 장문의 작업 후기에 사람들이 놀란 이유? / MTN STAR
42,소름돋는 뉴진스 위약금.. 계획 앞당긴 민희진 왜?
43,NewJeans (뉴진스) 'Attention' Official MV
44,NewJeans (뉴진스) 'OMG' Official MV
45,#playlist | 그냥 뉴진스가 좋아서요
46,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Attention' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220805
47,뉴진스와 함께할 새로운 계절을 기다리며🌊 'Attention'부터 'OMG'까지 뉴진스 무대 몰아보기 | NewJeans Music Bank Stage Compilation
48,뉴진스 민지가 박명수 앞에서 울컥한 이유
49,뉴진스를 공개 응원한 아이돌
50,뉴진스 르세라핌 데뷔 당시 대우 비교해보자
51,뉴진스 멤버 어머니 고백 4가지 총정리
52,
53,
54,NewJeans (뉴진스) 'Right Now' Official MV Teaser
55,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.)
56,[4K] NewJeans (뉴진스) Hype Boy (하입보이) 교차편집 (Stage Mix)
57,결국 뉴진스도 봐버린 짤들
58,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
59,아일릿이 말아주는 뉴진스 어텐션 attention
60,아일릿 멤버가 뉴진스 안티글을 보다가 실수했다고?
61,
62,
63,(SUB) 뉴진스(NewJeans) 세 번째 출연권 따낸(?) 애비진스ㅣ할명수 ep.183
64,[BE ORIGINAL] NewJeans(뉴진스) 'Attention' (4K)
65,𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 │ “꿈에서 깨워주지 마” ⋰˚☆ │ 몽환적인 뉴진스 플리 │ NewJeans
66,NEWJEANS (뉴진스) PLAYLIST ALL SONGS
67,뉴진스랑 뭐가 다르냐는 질문에 대답한 아일릿
68,뉴진스 (NewJeans) _ OMG | 1theKILLPO | 원더킬포 | 킬포인트 | 퍼포먼스 | Performance | 4K | 민지 하니 다니엘 해린 혜인
69,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송
70,160억 뉴진스 VS 1500억 아일릿
71,'뉴진스'와 멕시코 걸그룹 '진스'
72,뉴진스 버블검 vs 샤카탁 Easier Said Than Done 표절 논란 왜?
73,NewJeans(뉴진스) - New Jeans @인기가요 inkigayo 20230716
74,NewJeans (뉴진스) 'Ditto' Official MV (side A)
75,뉴진스가 베꼈다는 멕시코 걸그룹 '진스'
76,버블검🧼처럼 청량하고💙 바라만 봐도 행복해지는 아기토끼들🐰 뉴진스(NewJeans) 무대모음 | #소장각 | KBS 방송
77,(SUB) 뉴진스~💕 예능에서 제일 나쁜 사람 만났으니까 이제 뭐든 할 수 있어요ㅣep.113
78,뉴진스 르세라핌 데뷔 당시 대우 비교해보자
79,뷔가 민희진에게 연락한 이유 #뉴진스
80,[뉴진스]또 당하는 다니엘ㅋㅋ
81,방시혁의 특이한 '안면인식' ㅋㅋ
82,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans? (22.8~24.3)(브랜드평판#민희진"
83,뉴진스 경복궁 한복 쿨윗유 미쳤다 #Hanni #ハニ #NewJeans
84,
85,
86,"[리액션캠 4K] 뉴진스, ‘INTRO + ETA & Super Shy’ 축하공연 [제44회 청룡영화상 시상식] | KBS 231124 방송"
87,하이브 공주님? 르세라핌보다 '찐독기'였던 뉴진스!
88,반전이라는 민희진 평소 말투 뉴진스 앞에서는 딴사람
89,충격적이라는 뉴진스 부모님 메일 내용 요약
90,뉴진스 vs 진스 vs 아일릿. 누가 카피캣임?
91,이제보면 눈물나는 뉴진스 민지의 데뷔 전 소원 내용
92,아일릿이 말아주는 뉴진스 어텐션 attention
93,
94,
95,결국...이별할 것 같다는 뉴진스와 민희진‼️
96,"뉴진스, ‘Hype boy & Attention’ 축하공연 [제43회 청룡영화상 시상식] | KBS 221125 방송"
97,이제서야 이해된다는 과거 뉴진스 행동들 ㄷㄷㄷ 소름주의
98,재조명된 '르세라핌vs뉴진스 데뷔스케줄'
99,뉴진스 버블검 소름돋는 이유 #방시혁절대못함
100,불난 뉴진스 상황에 부채질할 뻔한 세븐틴 멤버 #shorts
101,뉴진스 민지가 박명수 앞에서 울컥한 이유
102,민희진이 숨겨놓은 소름돋는 영상들
103,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
104,뉴진스멤버들 오열중
105,난리난 뉴진스 OMG 뮤비 댓글창... 사실일까 음모론일까
106,현재 뉴진스 OMG 역주행하는 이유
107,[예고] 뉴진스(New Jeans) - Cool with you [코리아 온 스테이지 - 뉴제너레이션] | KBS 방송
108,하이브 단월드 사태 뉴진스 - OMG 재해석
109,하이브에서 이런 취급까지 당했다는 뉴진스;;
110,아일릿 데뷔날 뉴진스 혜인이 올린 사진의 의미 ㄷㄷ
111,충격적이라는 뉴진스 부모님 메일 내용 요약
112,뉴진스 vs 진스 vs 아일릿. 누가 카피캣임?
113,뉴진스 멤버들이 전부 영어 잘하는 이유ㄷㄷ
114,콩쥐의 돌변? 뉴진스 갑자기 이러네?ㅋㅋ
115,
116,
117,알고보면 소름돋는 뉴진스 데뷔 과정 ㄷㄷ
118,진심 한숨만 나온다는 뉴진스 신곡 뮤비;;
119,방시혁의 르세라핌 VS 민희진의 뉴진스 데뷔 당시 되돌아보기
120,이제 보니 소름돋는 뉴진스 ETA 가사 숨겨진 의미
121,뉴진스 다니엘 친언니 가수데뷔..! 목소리 닮았음ㄷㄷ
122,쏘스뮤직 연습생이었다는 뉴진스 멤버들? #shorts
123,[뉴진스] New Jeans + Super Shy +ETA + Cool with you + Get up 메들리 #shorts
124,
125,
126,민희진 광고업계 종사자가 올린 글
127,뉴진스 최애
128,"방시혁과 르세라핌, 그리고 뉴진스"
129,[#코리아온스테이지] 뉴진스 티저 | KBS 240521 방송
130,민희진 나가면 '뉴진스'는 어떻게 되냐고?
131,뉴진스 신곡 카피? 공개하자마자 저격당한 현재상황
132,뉴진스 하니 어머니가 민희진에게 준 '이것'
133,뉴진스 사이비 폭로 계정? 소름이라는 떡밥 ㄷㄷ
134,NewJeans 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) (Color Coded Lyrics)
135,[사건영상] 뉴진스-아일릿 비교 영상 얼마나 똑같길래? / 채널A
136,'뉴진스'와 멕시코 걸그룹 '진스'
137,민희진 기자회견에 대한 답변
138,결국 헤어지게 될 것 같다는 뉴진스와 민희진..ㄷㄷ
139,뉴진스 첫 미국공연 관객반응ㄷㄷ 라이브 논란??
140,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.)
141,불난 뉴진스 상황에 부채질할 뻔한 세븐틴 멤버 #shorts
142,아일릿이 말아주는 뉴진스 어텐션 attention
143,방시혁이 뉴진스 '인사 안 받아준' 이유
144,[뉴진스] 극한직업 김민지
145,뉴진스 VS 아이브 영어실력 특징 ㄷㄷ
146,
147,
148,NewJeans 'Ditto' Lyrics (뉴진스 Ditto 가사) (Color Coded Lyrics)
149,뉴진스 신곡 저격한 '아일릿 디렉터'
150,뉴진스 사이비설.. 결국에 이것이었다..? 소름이라는 암호코드
151,방씨는 어떻게 이런 애들의 인사를 씹을 수 있을까
152,뉴진스 뮤직비디오를 예언한 무한도전 🧝🏻‍♀️
153,뉴진스 민희진 관계가 불안한 이유
154,아일릿 데뷔날 뉴진스 혜인이 올린 사진의 의미 ㄷㄷ
155,
156,
157,NewJeans (뉴진스) 'Hype Boy' Official MV (DANIELLE&HAERIN ver.)
158,뉴진스 새로운 멤버 발표😳!!!포닝
159,New Jeans
160,NewJeans 'New Jeans (ft. The Powerpuff Girls)' Lyrics (뉴진스 New Jeans 가사) (Color Coded Lyrics)
161,[예고] 뉴진스(New Jeans) - Cool with you [코리아 온 스테이지 - 뉴제너레이션] | KBS 방송
162,이제 보니 소름돋는 뉴진스 ETA 가사 숨겨진 의미
163,뉴진스가 보여준 소름이라는 식인종 루머..ㄷㄷ
164,뉴진스 다니엘 친언니 가수데뷔..! 목소리 닮았음ㄷㄷ
165,민희진이 꽂혔던 뉴진스 민지 '데뷔 전'
166,뉴진스를 공개 응원한 아이돌
167,'뉴진스 험담' 메시지까지 여과 없이…'폭로전' 된 경영권 갈등 / JTBC 뉴스룸
168,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans? (22.8~24.3)(브랜드평판#민희진"
169,"뉴진스가 'Lucky Girl Syndrome'을 커버한다면? (원곡: 아일릿, AI 커버)"
170,황당함 주의;;; 하이브가 뉴진스 데뷔 전 예상했던 뉴진스 성적
171,현실 뉴진스 그대로 들어가 있는 버블검 뮤비 #newjeans #BubbleGum
172,민희진이 개 빡칠만한 뉴진스vs아일릿 표절의혹 TOP9
173,아일릿이 또? 뉴진스 안무가들이 화난 이유
174,아일릿 데뷔날 뉴진스 혜인이 올린 사진의 의미 ㄷㄷ
175,실제로 뉴진스 부모님도 항의했다는 아일릿 뉴진스 조롱 장면 ㄷㄷ
176,[뉴진스] 뉴진스 무한도전 밈 모음 #newjeans #hypeboy #omg #뉴진스 #무한도전 #밈#shorts #ditto
177,뉴진스 신곡 카피? 공개하자마자 저격당한 현재상황
178,
179,
180,"[뉴진스] 충격 뉴진스 위약금 ""6천억원 토해내야"" (""New Jeans"" must pay $500 million as penalty when leaving HYBE)"
181,베테랑 디올 언니들 사이 아기 같은 뉴진스 해린 #shorts
182,시술 의심 받았던 '뉴진스 혜인'
183,방시혁의 르세라핌 VS 민희진의 뉴진스 데뷔 당시 되돌아보기
184,뉴진스 별로 안 좋아하는 사람
185,아일릿 뉴진스 카피🧅까도 까도 또 나오네
186,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
187,
188,
189,르세라핌으로 알아보는 '개저씨들' 취향
190,저는 뉴진스 봤거든요? [미방분] #shorts
191,'뇌절vs이해간다' 뉴진스 부모님의 지적
192,[K-Choreo 8K HDR] 뉴진스 직캠 'New Jeans' (NewJeans Choreography) @MusicBank 230714
193,두 귀를 의심하게 하는 아일릿 1위 앵콜 라이브 #shorts
194,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
195,[NewJeans - Attention] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송
196,뉴진스 민지 다니엘 공식석상에서 보인 이 표정..ㅠㅠ
197,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
198,"하이브에서 돌연 활동 종료했던 여자친구, 뉴진스는 어떻게 될까?"
199,NewJeans (뉴진스) 'Right Now' Official MV Teaser
200,NewJeans(뉴진스) - Cookie @인기가요 inkigayo 20220807
201,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics)
202,방시혁이 뉴진스 다니엘을 데뷔조에서 제외시키려고 했던 이유
203,NewJeans (뉴진스) 'OMG' Dance Practice
204,OMG - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230127 방송
205,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2)
206,안은진: 뉴진스하니가저를봤다니까요?
207,헐.. 뉴진스와 민희진! 드디어 함께 하이브 탈출?!
208,다니엘 생일 라이브에 하니 민지가 나타나자 생긴 일 #danielle #newjeans
209,황당함 주의;;; 하이브가 뉴진스 데뷔 전 예상했던 뉴진스 성적
210,
211,
212,"""꾹 참았는데"" 뉴진스 안무가도 등판…""이건 뭐 죄다 복붙"" #소셜픽 / JTBC 아침&"
213,뉴진스 버블검 vs 샤카탁 Easier Said Than Done 표절 논란 왜?
214,"뉴진스가 'Magnetic'을 커버한다면? (원곡: 아일릿, AI 커버)"
215,한국을 사랑하는 뉴진스
216,[뉴진스] 강고양이 소화력 미쳤다
217,뉴진스 별로 안 좋아하는 사람
218,[뉴진스] 해린이 데뷔 14일만에 걸그룹 올타임 레전드 찍은 장면 (업스케일링)
219,
220,
221,[릴레이댄스] NewJeans(뉴진스) - Hype Boy (4K)
222,"‘웃지 못하는’ 뉴진스 민지, 민희진 하이브 갈등 속 행사 소화 NewJeans MINJI [O! STAR 숏폼]"
223,실제로 뉴진스 부모님도 항의했다는 아일릿 뉴진스 조롱 장면 ㄷㄷ
224,"NewJeans 뉴진스 'Bubble Gum'(250 외 작곡) 표절아닌 유사성 비교, Shakatak - Easier Said Than Done"
225,NEWJEANS (뉴진스) PLAYLIST ALL SONGS
226,NewJeans (뉴진스) 2023 Billboard Music Awards (Super Shy+OMG)
227,NewJeans 'Cool With You' Lyrics (뉴진스 Cool With You 가사) (Color Coded Lyrics)
228,콩쥐의 돌변? 뉴진스 갑자기 이러네?ㅋㅋ
229,NewJeans(뉴진스) - Hype Boy @인기가요 inkigayo 20220821
