,Unnamed: 0,video_title
0,0,NewJeans (뉴진스) 'Bubble Gum' Official MV
1,1,[Light Jeans] NIKE Air Max Campaign Shoot Behind 👟 | NewJeans
2,2,[Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 | NewJeans
3,3,⏰Sleeping beauty…🥀 #NewJeans #뉴진스 #NewJeans_is_Everywhere
4,4,I'm kickin' back and I'm #NewJeans #뉴진스 #NewJeans_is_Everywhere
5,5,productive baby 👼 #NewJeans #뉴진스#NewJeans_is_Everywhere
6,6,Finding Bunnies #NewJeans #뉴진스 #Bunnies_Membership #Bunnies_Club
9,9,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
10,10,"뉴진스의 심경 토로 ""결국 지나갈 것""...오늘 밤 경복궁 특설무대 올라｜지금 이 장면"
11,11,소름돋는 뉴진스 위약금.. 계획 앞당긴 민희진 왜?
12,12,(SUB) 뉴진스(NewJeans) 세 번째 출연권 따낸(?) 애비진스ㅣ할명수 ep.183
13,13,160억 뉴진스 VS 1500억 아일릿
14,14,르세라핌으로 알아보는 '개저씨들' 취향
15,15,꾸준히 실력논란 되고 있는 아일릿 원희 #shorts
16,16,'뇌절vs이해간다' 뉴진스 부모님의 지적
19,19,뉴진스 민지 다니엘 입열다 #뉴진스 #민지 #다니엘
20,20,NewJeans 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) (Color Coded Lyrics)
21,21,"2023년은 토끼해라던데!?🐰 Attention부터 Hype boy, Hurt까지 뉴진스 모든 무대 몰아보기 | NewJeans Stage Compilation"
22,22,뉴진스와 함께할 새로운 계절을 기다리며🌊 'Attention'부터 'OMG'까지 뉴진스 무대 몰아보기 | NewJeans Music Bank Stage Compilation
23,23,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2)
24,24,NewJeans (뉴진스) Live @ Lollapalooza 2023 (Full Performance)
25,25,"민희진 뉴진스 멤버 비하, 뒷담 욕 결국 인정한 근황, 살 못빼는 개초딩들,하니 개뚱뚱 찌발(실제카톡)"
26,26,뉴진스(NewJeans) 한복 디자이너가 남긴 장문의 작업 후기에 사람들이 놀란 이유? / MTN STAR
27,27,결국 뉴진스도 봐버린 짤들
28,28,뉴진스 새로운 멤버 발표😳!!!포닝
29,29,뉴진스 민희진 관계가 불안한 이유
30,30,대퓨님 인스타에 올라온 뉴진스 #Hanni #ハニ #NewJeans
33,33,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 트렌드의 아이콘 뉴진스, 잔잔하며 풋풋한 뉴진스의 히트곡 모음 𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕"
34,34,새 국면 맞은 '민희진의 난' 뉴진스 탄원서로 '반격' [뉴스.zip/MBC뉴스]
35,35,'뉴진스'와 멕시코 걸그룹 '진스'
36,36,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
37,37,[뉴진스] 강고양이 소화력 미쳤다
38,38,뉴진스 멤버들 실물 #뉴진스 #shorts
41,41,NewJeans (뉴진스) 'Super Shy' Official MV
42,42,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Attention' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220805
43,43,NewJeans (뉴진스) 'ETA' Official MV
44,44,BABYMONSTER - ‘SHEESH’ M/V
45,45,ILLIT (아일릿) ‘Magnetic’ Official MV
46,46,BTS (방탄소년단) 'Dynamite' Official MV
47,47,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1)
48,48,NewJeans (뉴진스) 'ETA' Official MV (Performance ver.)
49,49,NewJeans (뉴진스) 'OMG' Official MV
50,50,NewJeans (뉴진스) 'Attention' Official MV
51,51,"민희진 ""뉴진스, 살 하나 못 빼는 초딩들"" / KNN"
52,52,뉴진스와 함께할 새로운 계절을 기다리며🌊 'Attention'부터 'OMG'까지 뉴진스 무대 몰아보기 | NewJeans Music Bank Stage Compilation
53,53,NewJeans(뉴진스) - Ditto @인기가요 inkigayo 20230115
54,54,[뉴진스] 강고양이 소화력 미쳤다
55,55,뉴진스 멤버들 실물 #뉴진스 #shorts
56,56,이제 보니 소름돋는 뉴진스 ETA 가사 숨겨진 의미
57,57,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
60,60,NewJeans(뉴진스) - Super Shy @인기가요 inkigayo 20230716
61,61,NewJeans 'Ditto' Lyrics (뉴진스 Ditto 가사) (Color Coded Lyrics)
62,62,NewJeans(뉴진스) - New Jeans @인기가요 inkigayo 20230716
63,63,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
64,64,[뉴진스] 갓 일어난 얼굴 실화냐
65,65,헐.. 뉴진스와 민희진! 드디어 함께 하이브 탈출?!
66,66,[뉴진스] New Jeans + Super Shy +ETA + Cool with you + Get up 메들리 #shorts
69,69,[예고] 뉴진스(New Jeans) - Cool with you [코리아 온 스테이지 - 뉴제너레이션] | KBS 방송
70,70,[4K] NewJeans (뉴진스) Hype Boy (하입보이) 교차편집 (Stage Mix)
71,71,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.)
72,72,NewJeans (뉴진스) 'Ditto' Official MV (side A)
73,73,[#코리아온스테이지] 뉴진스 티저 | KBS 240521 방송
74,74,"[뉴진스] 충격 뉴진스 위약금 ""6천억원 토해내야"" (""New Jeans"" must pay $500 million as penalty when leaving HYBE)"
75,75,버블검🧼처럼 청량하고💙 바라만 봐도 행복해지는 아기토끼들🐰 뉴진스(NewJeans) 무대모음 | #소장각 | KBS 방송
76,76,뉴진스 사태로 아리아나 그란데가 하이브 탈주했던 이유 미국에서 재조명…
77,77,"[리액션캠 4K] 뉴진스, ‘INTRO + ETA & Super Shy’ 축하공연 [제44회 청룡영화상 시상식] | KBS 231124 방송"
78,78,"피식대학 지역 비하 '시끌'…해당 업주도 ""조금 무례했지요"" #소셜픽 / JTBC 아침&"
79,79,"뉴진스, ‘Hype boy & Attention’ 축하공연 [제43회 청룡영화상 시상식] | KBS 221125 방송"
80,80,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송
